file_id,gender,age,race,race4,hair_color
57695,Male,10-19,White,White,brown
04400,Female,30-39,White,White,brown
05793,Male,50-59,White,White,gray
39062,Male,20-29,Southeast Asian,Asian,black
21285,Male,20-29,White,White,brown
08677,Female,3-9,Black,Black,black
25272,Male,0-2,White,White,blond
30836,Male,3-9,White,White,blond
36156,Female,0-2,White,White,blond
53162,Male,20-29,White,White,brown
28158,Male,40-49,White,Black,blond
01758,Female,30-39,Indian,Indian,black
37067,Male,10-19,Latino_Hispanic,Asian,black
54859,Male,20-29,Latino_Hispanic,Asian,black
65877,Male,40-49,White,White,brown
64478,Male,3-9,White,White,blond
01621,Male,20-29,Latino_Hispanic,Indian,brown
04098,Male,30-39,White,White,brown
08054,Male,10-19,Southeast Asian,Black,black
04590,Female,40-49,White,White,blond
53120,Male,10-19,White,White,brown
51303,Female,3-9,Black,Black,brown
44276,Female,20-29,White,White,blond
10544,Male,20-29,East Asian,Asian,brown
41569,Male,40-49,White,White,brown
35600,Female,3-9,White,White,brown
37031,Male,30-39,White,White,brown
48517,Male,30-39,East Asian,Asian,black
59467,Male,10-19,Indian,Indian,black
12301,Male,40-49,Latino_Hispanic,White,black
24893,Female,20-29,White,White,brown
34565,Male,3-9,White,White,brown
20426,Male,20-29,Southeast Asian,Asian,black
39235,Male,3-9,White,White,brown
30225,Male,20-29,White,White,brown
56576,Female,60-69,White,White,brown
63801,Male,20-29,Indian,Black,black
54244,Male,60-69,White,White,gray
28553,Male,70+,White,White,gray
53324,Male,50-59,Black,Black,bald
64433,Female,20-29,Latino_Hispanic,Asian,black
07062,Female,10-19,Southeast Asian,Asian,brown
13386,Female,3-9,White,White,blond
45064,Male,20-29,White,White,brown
42556,Male,40-49,White,White,gray
62685,Male,40-49,White,White,gray
68799,Female,20-29,White,White,brown
50173,Male,20-29,White,White,brown
64103,Male,40-49,White,White,brown
25770,Male,50-59,Latino_Hispanic,Asian,black
21520,Female,30-39,White,White,blond
05222,Male,50-59,White,White,gray
38056,Male,20-29,East Asian,Asian,black
05257,Male,50-59,White,White,bald
21737,Male,50-59,White,White,brown
29429,Male,20-29,Southeast Asian,Asian,brown
02510,Female,20-29,East Asian,White,black
15435,Male,40-49,White,White,brown
35063,Male,3-9,Southeast Asian,Asian,black
47387,Male,10-19,White,White,brown
02551,Female,3-9,East Asian,Asian,brown
62189,Male,30-39,White,White,brown
31614,Male,3-9,Southeast Asian,Asian,black
58482,Male,3-9,White,White,blond
14501,Female,3-9,East Asian,White,brown
60808,Male,60-69,White,Indian,blond
36537,Male,40-49,Middle Eastern,White,brown
38586,Male,20-29,Latino_Hispanic,White,brown
20478,Male,40-49,White,White,bald
29044,Male,40-49,White,White,brown
13786,Male,60-69,White,White,gray
06513,Male,50-59,White,White,brown
47446,Male,40-49,East Asian,White,brown
24459,Male,3-9,White,White,blond
11174,Male,3-9,East Asian,Asian,brown
42008,Male,50-59,White,White,gray
59488,Male,20-29,East Asian,White,brown
62745,Male,20-29,Southeast Asian,Asian,black
35779,Female,0-2,White,White,blond
13915,Male,10-19,Southeast Asian,Asian,black
69869,Male,20-29,White,White,blond
20785,Male,30-39,White,White,brown
04870,Male,50-59,White,White,brown
67787,Male,40-49,East Asian,Asian,black
60240,Female,20-29,White,Asian,brown
41257,Female,3-9,White,White,brown
